id	cryptoclass	emonym	country	construction_type	classifier_lemma	citation_es	citation_ru	disputed	source_file	source_sheet	source_locator	notes
acu-miedo-ar-0001	Res Acutae	miedo	AR	attributive	punzante	envuelve a sus residentes en una punzante sensación de miedo,		f	Res Acutae.xlsx	MIEDO	F2	
acu-miedo-ar-0002	Res Acutae	miedo	AR	attributive	puntiagudo	el eco mezclado con un miedo hiriente, refinado, puntiagudo y finalmente el frío		f	Res Acutae.xlsx	MIEDO	F2	
acu-miedo-bo-0001	Res Acutae	miedo	BO	attributive	agudo	un miedo sospechosamente agudo a el problema		f	Res Acutae.xlsx	MIEDO	F3	
acu-miedo-cl-0001	Res Acutae	miedo	CL	attributive	agudo	sienten miedo agudo a aumentar de peso		f	Res Acutae.xlsx	MIEDO	F4	
acu-miedo-co-0001	Res Acutae	miedo	CO	instrumental	a punta de	la estrategia republicana de buscar electores a punta de miedo tuvo éxito		f	Res Acutae.xlsx	MIEDO	H5	
acu-miedo-co-0002	Res Acutae	miedo	CO	instrumental	a punta de	los métodos eclesiásticos de control del individuo a punta de miedo..		f	Res Acutae.xlsx	MIEDO	H5	
acu-miedo-co-0003	Res Acutae	miedo	CO	instrumental	a punta de	Si es que los convencen a punta de miedo como los mal llamados enviados de Dios,		f	Res Acutae.xlsx	MIEDO	H5	
acu-miedo-co-0004	Res Acutae	miedo	CO	instrumental	a punta de	Es mas fácil criar a tus hijos a punta de miedo y amenazas,		f	Res Acutae.xlsx	MIEDO	H5	
acu-miedo-cu-0001	Res Acutae	miedo	CU	verbal-subject-transitive	pinchar	un miedo en mayúsculas, ese miedo que te pincha el corazón y te exalta, te consume		f	Res Acutae.xlsx	MIEDO	B7	
acu-miedo-cu-0002	Res Acutae	miedo	CU	attributive	agudo	y con síndrome de miedo agudo ante cualquier gesto de su tutor		f	Res Acutae.xlsx	MIEDO	F7	
acu-miedo-do-0001	Res Acutae	miedo	DO	instrumental	punta de	creer en alguna deidad pero si en como a punta de miedo, intimidación e intolerancia,		f	Res Acutae.xlsx	MIEDO	H8	
acu-miedo-es-0001	Res Acutae	miedo	ES	verbal-objective	aguzar	Desde la amoralidad más descarada, estrechando manos y perorando avisos, aguzando el miedo y la insolidaridad,		f	Res Acutae.xlsx	MIEDO	D10	
acu-miedo-mx-0001	Res Acutae	miedo	MX	attributive	agudo	un miedo anormal y agudo a los médicos		f	Res Acutae.xlsx	MIEDO	F13	
acu-miedo-mx-0002	Res Acutae	miedo	MX	predicative		este miedo es probablemente más agudo,		f	Res Acutae.xlsx	MIEDO	G13	
acu-miedo-mx-0003	Res Acutae	miedo	MX	instrumental	a punta de	la estrategia de Chick Publications es adoctrinar y convertir a punta de el miedo.		f	Res Acutae.xlsx	MIEDO	H13	
acu-miedo-pa-0001	Res Acutae	miedo	PA	instrumental	a punta de	como muchas cosas en la crianza te las hacen creer a punta de miedo. H		f	Res Acutae.xlsx	MIEDO	H15	
acu-miedo-pe-0001	Res Acutae	miedo	PE	attributive	agudo	umará un miedo agudo a los pasivos de su muy breve personalidad "		f	Res Acutae.xlsx	MIEDO	F16	
acu-miedo-uy-0001	Res Acutae	miedo	UY	attributive	agudo	el miedo agudo efectivamente facilita la coagulación sanguínea		f	Res Acutae.xlsx	MIEDO	F20	
acu-miedo-uy-0002	Res Acutae	miedo	UY	instrumental	a punta de	imponer a punta de miedo el proyecto minero conga,		f	Res Acutae.xlsx	MIEDO	H20	
acu-miedo-ve-0001	Res Acutae	miedo	VE	attributive	agudo	admiten que un agudo miedo resurgió por la vida		f	Res Acutae.xlsx	MIEDO	F21	
acu-miedo-ve-0002	Res Acutae	miedo	VE	predicative	es punzante	n cada' foto asalto' el miedo es punzante		f	Res Acutae.xlsx	MIEDO	G21	
acu-miedo-us-0001	Res Acutae	miedo	US	attributive	punzante	odos los miedos y las inseguridades vuelven punzantes como alfileres		f	Res Acutae.xlsx	MIEDO	F22	
acu-amor-ar-0001	Res Acutae	amor	AR	verbal-subject-transitive		Además de el bichito de el amor, a muchos les pica la necesidad de decorar con plantas y flores		f	Res Acutae.xlsx	AMOR	B2	
acu-amor-ar-0002	Res Acutae	amor	AR	verbal-subject-transitive		ese " bichito " que pica a el que llaman amor.		f	Res Acutae.xlsx	AMOR	B2	
acu-amor-ar-0003	Res Acutae	amor	AR	attributive	agudo	el amor es más agudo que el odio		f	Res Acutae.xlsx	AMOR	F2	
acu-amor-bo-0001	Res Acutae	amor	BO	verbal-subject-transitive		algún momento picará el bichito de amor.		f	Res Acutae.xlsx	AMOR	B3	
acu-amor-cl-0001	Res Acutae	amor	CL	verbal-subject-transitive		adie puede ser malo cuando le viene picando el bichito de el amor		f	Res Acutae.xlsx	AMOR	B4	
acu-amor-cl-0002	Res Acutae	amor	CL	attributive	agudo	" el agudo aguijón de el amor		f	Res Acutae.xlsx	AMOR	F4	
acu-amor-co-0001	Res Acutae	amor	CO	verbal-subject-transitive		el' bichito' de el amor le ha vuelto a picar		f	Res Acutae.xlsx	AMOR	B5	
acu-amor-co-0002	Res Acutae	amor	CO	verbal-subject-transitive		n qué momento lo picó ese amor por las letras		f	Res Acutae.xlsx	AMOR	B5	
acu-amor-co-0003	Res Acutae	amor	CO	substantive	punta de	el proceso fue fácil, ya que la hicimos realmente sin dinero, sólo a punta de amor, esfuerzo y sacrificio.		f	Res Acutae.xlsx	AMOR	H5	
acu-amor-co-0004	Res Acutae	amor	CO	substantive	punta de	todos los padres del mundo que se han ganado a punta de amor un puesto preferencial en el corazón de sus hijos		f	Res Acutae.xlsx	AMOR	H5	
acu-amor-cr-0001	Res Acutae	amor	CR	attributive	punzante	la cama con espinosas almohadas de Amor punzante,		f	Res Acutae.xlsx	AMOR	F6	
acu-amor-cu-0001	Res Acutae	amor	CU	verbal-subject-transitive		que cuando te agarra, a eso que llaman amor, lo hace picándo te duro por el cuello.		f	Res Acutae.xlsx	AMOR	B7	
acu-amor-cu-0002	Res Acutae	amor	CU	attributive	agudo	/ Es más grave el amor, es más agudo.		f	Res Acutae.xlsx	AMOR	F7	
acu-amor-es-0001	Res Acutae	amor	ES	attributive	punzante	No un amor punzante y afilado, como en' El secreto de sus ojos'		f	Res Acutae.xlsx	AMOR	F10	
acu-amor-mx-0001	Res Acutae	amor	MX	attributive	punzante	a Universidad Iberoamericana de Torreón nos regala un acto de amor punzante que fluye por nuestras arterias con dolor		f	Res Acutae.xlsx	AMOR	F13	
acu-amor-mx-0002	Res Acutae	amor	MX	substantive	punta de	asta en su forma de querer curar mi llanto a punta de amor.		f	Res Acutae.xlsx	AMOR	H13	
acu-amor-pa-0001	Res Acutae	amor	PA	verbal-subject-transitive		Cuando te pica el amor, te pica		f	Res Acutae.xlsx	AMOR	B15	
acu-amor-pa-0002	Res Acutae	amor	PA	substantive	punta de	y es que a punta de amor regresas a Panamá gial		f	Res Acutae.xlsx	AMOR	H15	
acu-amor-py-0001	Res Acutae	amor	PY	verbal-subject-transitive		Si te picó el bichito de el amor, en tu playlist se hacen presentes la músic		f	Res Acutae.xlsx	AMOR	B18	
acu-amor-ve-0001	Res Acutae	amor	VE	verbal-subject-transitive		El amor pica y se extiende		f	Res Acutae.xlsx	AMOR	B21	
acu-tristeza-ar-0001	Res Acutae	tristeza	AR	attributive	agudo	una aguda tristeza otoñal		f	Res Acutae.xlsx	TRISTEZA	F2	
acu-tristeza-cl-0001	Res Acutae	tristeza	CL	attributive	agudo	tristeza aguda, decaimiento y desgano principalmente en las mañanas,		f	Res Acutae.xlsx	TRISTEZA	F4	
acu-tristeza-cl-0002	Res Acutae	tristeza	CL	predicative		La tristeza se hizo más aguda en el caso de Andrés Iniesta,		f	Res Acutae.xlsx	TRISTEZA	G4	
acu-tristeza-co-0001	Res Acutae	tristeza	CO	attributive	agudo	l mundo visto a través de aquella tristeza aguda me parecía nítido		f	Res Acutae.xlsx	TRISTEZA	F5	
acu-tristeza-co-0002	Res Acutae	tristeza	CO	attributive	agudo	con ideas de muerte y tristeza aguda		f	Res Acutae.xlsx	TRISTEZA	F5	
acu-tristeza-co-0003	Res Acutae	tristeza	CO	attributive	agudo	cambio de estados de ánimo de manera frecuente o tristeza aguda a raíz de pérdidas o problemas		f	Res Acutae.xlsx	TRISTEZA	F5	
acu-tristeza-es-0001	Res Acutae	tristeza	ES	attributive	agudo	Se reflejaba la aguda tristeza de esta determinación		f	Res Acutae.xlsx	TRISTEZA	F10	
acu-tristeza-mx-0001	Res Acutae	tristeza	MX	attributive	agudo	la incontenible alegría con el' Noa Noa' hasta la tristeza más aguda con' Amor Eterno		f	Res Acutae.xlsx	TRISTEZA	F13	
acu-tristeza-pr-0001	Res Acutae	tristeza	PR	verbal-subject-transitive		Pero ya es una rutina. Cuando son periodos largos, pica la tristeza. #		f	Res Acutae.xlsx	TRISTEZA	B17	
acu-tristeza-pr-0002	Res Acutae	tristeza	PR	attributive	agudo	le den sentido a tristezas agudas en caso de pérdidas		f	Res Acutae.xlsx	TRISTEZA	F17	
acu-tristeza-ve-0001	Res Acutae	tristeza	VE	attributive	agudo	la incontenible alegría con el' Noa Noa' hasta la tristeza más aguda con' Amor Eterno'		f	Res Acutae.xlsx	TRISTEZA	F21	
acu-tristeza-us-0001	Res Acutae	tristeza	US	attributive	agudo	! # La observó con aguda tristeza.		f	Res Acutae.xlsx	TRISTEZA	F22	
acu-alegría-ar-0001	Res Acutae	alegría	AR	instrumental		estamos saliendo de esta seca ", apunta, con alegría, su sobrino,		f	Res Acutae.xlsx	ALEGRÍA	E2	
acu-alegría-cl-0001	Res Acutae	alegría	CL	instrumental		apuntó con alegría,		f	Res Acutae.xlsx	ALEGRÍA	E4	
acu-alegría-cl-0002	Res Acutae	alegría	CL	instrumental a punta de	El hombre que a punta de alegría, domó a el pollito pío y a el chanchito con lentes.		f	Res Acutae.xlsx	ALEGRÍA	H4	
acu-alegría-co-0001	Res Acutae	alegría	CO	verbal-subject-transitive		El' bichito' de la alegría picaba cada vez a más personas,		f	Res Acutae.xlsx	ALEGRÍA	B5	
acu-alegría-co-0002	Res Acutae	alegría	CO	instrumental	a punta de	Rigo se ganó a el país a punta de su alegría		f	Res Acutae.xlsx	ALEGRÍA	H5	
acu-alegría-cr-0001	Res Acutae	alegría	CR	instrumental al	filo de	 mantener a los fiebres al filo de la alegría		f	Res Acutae.xlsx	ALEGRÍA	H6	
acu-alegría-es-0001	Res Acutae	alegría	ES	instrumental		apuntó con alegría el niño de 8 años		f	Res Acutae.xlsx	ALEGRÍA	E10	
acu-alegría-es-0002	Res Acutae	alegría	ES	attributive	puntiagudo	En este trayecto la emoción Alegría adopta una forma puntiaguda mientras que Tristeza se torna a una forma más redonda.		f	Res Acutae.xlsx	ALEGRÍA	F10	
acu-alegría-mx-0001	Res Acutae	alegría	MX	verbal-subject-transitive	punzar	la tierra es lugar de alegría penosa, de alegría que punza.		f	Res Acutae.xlsx	ALEGRÍA	B13	
acu-alegría-mx-0002	Res Acutae	alegría	MX	attributive	agudo	incluso la alegría más aguda y la fraternidad más firme es incapaz de detener la mano de el suicida		f	Res Acutae.xlsx	ALEGRÍA	F13	
acu-alegría-ni-0001	Res Acutae	alegría	NI	instrumental		" Si me fui tenía que regresar ", apunta con alegría,		f	Res Acutae.xlsx	ALEGRÍA	E14	
con-miedo-ar-0001	Res Continens	miedo	AR	verbal-objective	tapar	es que el seductor se nos vaya de mambo y que, a 230/280 para tapar el miedo, se estrelle.		f	RES CONTINENS.xlsx	miedo	B2	
con-miedo-ar-0002	Res Continens	miedo	AR	verbal-objective	tapar	La ira es un recurso que tapa el miedo y la confusión.		f	RES CONTINENS.xlsx	miedo	B2	
con-miedo-ar-0003	Res Continens	miedo	AR	verbal-objective	tapar	a gente compra una marca más cara porque le da más seguridad y con eso tapa un miedo.		f	RES CONTINENS.xlsx	miedo	B2	
con-miedo-ar-0004	Res Continens	miedo	AR	verbal-objective	destapar	Los combates destapan el miedo.		f	RES CONTINENS.xlsx	miedo	B2	
con-miedo-ar-0005	Res Continens	miedo	AR	verbal-objective	destapar	con la necesidad urgente de destapar los miedos, angustias y horrores		f	RES CONTINENS.xlsx	miedo	B2	
con-miedo-ar-0006	Res Continens	miedo	AR	verbal-objective	destapar	Esta condena permitió romper con la impunidad, destapar el miedo y seguir construyendo justicia		f	RES CONTINENS.xlsx	miedo	B2	
con-miedo-ar-0007	Res Continens	miedo	AR	verbal-objective	destapar	El recuerdo más bonito de la experiencia literaria está asociada a mi libertad, a destapar los miedos por la discriminación, por estar dentro de el close		f	RES CONTINENS.xlsx	miedo	B2	
con-miedo-ar-0008	Res Continens	miedo	AR	verbal-locative-state		yo en la habitación de mis hijas con la puertas trancada por dentro de el miedo que tenia de sus ataques		f	RES CONTINENS.xlsx	miedo	E2	
con-miedo-ar-0009	Res Continens	miedo	AR	verbal-locative-state		El dolor vive en el miedo		f	RES CONTINENS.xlsx	miedo	E2	
con-miedo-ar-0010	Res Continens	miedo	AR	verbal-locative-state	vivir en	vivir en el miedo		f	RES CONTINENS.xlsx	miedo	E2	
con-miedo-ar-0011	Res Continens	miedo	AR	verbal-locative-state		No queremos seguir viviendo en el miedo		f	RES CONTINENS.xlsx	miedo	E2	
con-miedo-ar-0012	Res Continens	miedo	AR	verbal-locative-state	vivir en	es imposible vivir en el miedo		f	RES CONTINENS.xlsx	miedo	E2	
con-miedo-ar-0013	Res Continens	miedo	AR	verbal-locative-state		En Venezuela vivíamos en el miedo, y el miedo genera egoísmo.		f	RES CONTINENS.xlsx	miedo	E2	
con-miedo-ar-0014	Res Continens	miedo	AR	verbal-locative-state		iene siempre utilidades secundarias muy precisas: permanecer en el miedo.		f	RES CONTINENS.xlsx	miedo	E2	
con-miedo-ar-0015	Res Continens	miedo	AR	verbal-locative-into	caer en	Honrubia asegura que caer en el miedo es producto de una falta de confianza prolongada		f	RES CONTINENS.xlsx	miedo	F2	
con-miedo-ar-0016	Res Continens	miedo	AR	verbal-locative-into	caer en	Luego de caer en el miedo y la depresión, Gustavo decidió refugiar se con sus compañeros en el CUEN		f	RES CONTINENS.xlsx	miedo	F2	
con-miedo-ar-0017	Res Continens	miedo	AR	verbal-locative-into	caer en	me di cuenta de que no tenía que caer en el miedo que le tienen los periodistas de decir se a sí mismos'		f	RES CONTINENS.xlsx	miedo	F2	
con-miedo-ar-0018	Res Continens	miedo	AR	verbal-locative-into	caer en	an una mano grande a los equipos con el fin de no caer en el miedo que tenemos de tener que decir que cerramos		f	RES CONTINENS.xlsx	miedo	F2	
con-miedo-ar-0019	Res Continens	miedo	AR	verbal-locative-into		no caen en el miedo que padecen hoy muchos ejecutivos respecto a que pasa si el negocio en la Argentina		f	RES CONTINENS.xlsx	miedo	F2	
con-miedo-bo-0001	Res Continens	miedo	BO	verbal-objective	destapar	Destapo el miedo de una mujer que se somete de forma oculta o clandestina a un		f	RES CONTINENS.xlsx	miedo	B3	
con-miedo-bo-0002	Res Continens	miedo	BO	verbal-locative-state	vivir en	estaremos condenados a vivir en el miedo, la intranquilidad y el abuso de poder d		f	RES CONTINENS.xlsx	miedo	E3	
con-miedo-bo-0003	Res Continens	miedo	BO	verbal-locative-state		Los tiranos viven en el miedo porque contra todo el pueblo nadie puede		f	RES CONTINENS.xlsx	miedo	E3	
con-miedo-bo-0004	Res Continens	miedo	BO	verbal-locative-state		los contribuyentes viven en el miedo –e incluso terror–		f	RES CONTINENS.xlsx	miedo	E3	
con-miedo-bo-0005	Res Continens	miedo	BO	verbal-locative-out		La llegada de el Espíritu Santo saca de el miedo a los discípulos		f	RES CONTINENS.xlsx	miedo	G3	
con-miedo-cl-0001	Res Continens	miedo	CL	verbal-objective	destapar	sometida a proyecciones de realidad, que destapan los miedos guardados		f	RES CONTINENS.xlsx	miedo	B4	
con-miedo-cl-0002	Res Continens	miedo	CL	verbal-locative-state		han encontrado en el miedo transformado en un dispositivo político-mediático un instrumento 	f	RES CONTINENS.xlsx	miedo	E4	
con-miedo-cl-0003	Res Continens	miedo	CL	verbal-locative-state		en el miedo aparece la esperanza; yo sé que Dios nos va a ayudar.		f	RES CONTINENS.xlsx	miedo	E4	
con-miedo-cl-0004	Res Continens	miedo	CL	verbal-locative-state		Dentro de este miedo aparece ser una carga para los hijos o cónyuge		f	RES CONTINENS.xlsx	miedo	E4	
con-miedo-cl-0005	Res Continens	miedo	CL	verbal-locative-state		dentro de los miedos más importantes hay dos que están presentes en la mayoría		f	RES CONTINENS.xlsx	miedo	E4	
con-miedo-cl-0006	Res Continens	miedo	CL	verbal-locative-state	vivir en	No se puede vivir en el miedo		f	RES CONTINENS.xlsx	miedo	E4	
con-miedo-cl-0007	Res Continens	miedo	CL	verbal-locative-state	vivir en	ellos deben ocupar se de esta situación antes que vivir en el miedo: "		f	RES CONTINENS.xlsx	miedo	E4	
con-miedo-cl-0008	Res Continens	miedo	CL	verbal-locative-state		lucharon por una Europa en la que sus gentes vivan en el miedo a la pobreza, a la exclusión, a el desempleo		f	RES CONTINENS.xlsx	miedo	E4	
con-miedo-cl-0009	Res Continens	miedo	CL	verbal-locative-state	vivir en	estamos autocondenados a vivir en el miedo y la ignorancia		f	RES CONTINENS.xlsx	miedo	E4	
con-miedo-cl-0010	Res Continens	miedo	CL	verbal-locative-state		Nos han mantenido viviendo en el miedo.		f	RES CONTINENS.xlsx	miedo	E4	
con-miedo-cl-0011	Res Continens	miedo	CL	verbal-locative-state		se eleva a dos millones que ahora "viven en el miedo de un asedio de facto		f	RES CONTINENS.xlsx	miedo	E4	
con-miedo-cl-0012	Res Continens	miedo	CL	verbal-locative-state		uando familias inocentes viven en el miedo y el horror		f	RES CONTINENS.xlsx	miedo	E4	
con-miedo-cl-0013	Res Continens	miedo	CL	verbal-locative-state		La víctima vive en el miedo, sino derechamente en el terror		f	RES CONTINENS.xlsx	miedo	E4	
con-miedo-cl-0014	Res Continens	miedo	CL	verbal-locative-into		Quizás por la presión caemos en el miedo escénico y terminamos complicándo nos		f	RES CONTINENS.xlsx	miedo	F4	
con-miedo-cl-0015	Res Continens	miedo	CL	verbal-locative-into	caer en	La ciudadanía no debe caer en el miedo o en una suerte de sicosis colectiva,		f	RES CONTINENS.xlsx	miedo	F4	
con-miedo-cl-0016	Res Continens	miedo	CL	verbal-locative-into	caer en	Caer en el miedo es dar le el triunfo a el Estado Islámico		f	RES CONTINENS.xlsx	miedo	F4	
con-miedo-co-0001	Res Continens	miedo	CO	verbal-objective	tapar	lo que uste está diciendo es que ya perdimos y quiere tapar el miedo con racionalismo pseudotécni		f	RES CONTINENS.xlsx	miedo	B5	
con-miedo-co-0002	Res Continens	miedo	CO	verbal-objective	tapar	uno de ellos, con un sombrero que no alcanza a tapar le el miedo de la cara, reflexiona		f	RES CONTINENS.xlsx	miedo	B5	
con-miedo-co-0003	Res Continens	miedo	CO	verbal-objective	tapar	Los combates destapan el miedo		f	RES CONTINENS.xlsx	miedo	B5	
con-miedo-co-0004	Res Continens	miedo	CO	verbal-locative-state		n fascista que encontró en el miedo, en la tristeza y en la desilusión de los brasileños		f	RES CONTINENS.xlsx	miedo	E5	
con-miedo-co-0005	Res Continens	miedo	CO	verbal-locative-state		Cadena encontró en el miedo y el terror la mejor arma para tener contro		f	RES CONTINENS.xlsx	miedo	E5	
con-miedo-co-0006	Res Continens	miedo	CO	verbal-locative-state		3( Creo que sólo ahí, en el acecho, en el peligro, en el miedo aparecía el reclamo de justicia que yo buscaba para contar		f	RES CONTINENS.xlsx	miedo	E5	
con-miedo-co-0007	Res Continens	miedo	CO	verbal-locative-state		macabra muñequita que con su cara asesina y cruel se nos asentaba dentro de los miedos más profundos de el inconsciente		f	RES CONTINENS.xlsx	miedo	E5	
con-miedo-co-0008	Res Continens	miedo	CO	verbal-locative-state		una generación entera que vivió en el miedo.		f	RES CONTINENS.xlsx	miedo	E5	
con-miedo-co-0009	Res Continens	miedo	CO	verbal-locative-state		son las comunidades más pobres abandonadas y ninguniadas, sino que viven en el miedo y espanto que producen la convivencia con todos los bichos de el mal.		f	RES CONTINENS.xlsx	miedo	E5	
con-miedo-co-0010	Res Continens	miedo	CO	verbal-locative-state		" Una sociedad civil que vive en el miedo, miedo de el otro		f	RES CONTINENS.xlsx	miedo	E5	
con-miedo-co-0011	Res Continens	miedo	CO	verbal-locative-state	vivir en	tener que abandonar el hogar donde viven, sino vivir en el miedo, en la precariedad		f	RES CONTINENS.xlsx	miedo	E5	
con-miedo-co-0012	Res Continens	miedo	CO	verbal-locative-into	caer en	les pidió a los colombianos no caer en el miedo a el castrochavismo		f	RES CONTINENS.xlsx	miedo	F5	
con-miedo-co-0013	Res Continens	miedo	CO	verbal-locative-into	caer en	hacer lenta tu toma de decisiones y hacer te caer en el miedo de dar un paso		f	RES CONTINENS.xlsx	miedo	F5	
con-miedo-co-0014	Res Continens	miedo	CO	verbal-locative-out		desplazamiento y de la dictadura. chilena Sus libros, nos sacan de el miedo de vivir " en el país de el Nomeacuerdo		f	RES CONTINENS.xlsx	miedo	G5	
con-miedo-co-0015	Res Continens	miedo	CO	attributive		Aquí ya no hay caminos para las aves. Se han destapado todos los miedos.		f	RES CONTINENS.xlsx	miedo	H5	
con-miedo-cr-0001	Res Continens	miedo	CR	verbal-locative-state		está en el temor		f	RES CONTINENS.xlsx	miedo	E6	
con-miedo-cr-0002	Res Continens	miedo	CR	verbal-locative-into		No caigamos en el miedo y la mentira, informemonos mejor y tomemos nuestras propias decisiones		f	RES CONTINENS.xlsx	miedo	F6	
con-miedo-cu-0001	Res Continens	miedo	CU	verbal-objective	tapar	Hay algunos que utilizan el dolor como excusa para tapar sus miedos		f	RES CONTINENS.xlsx	miedo	B7	
con-miedo-cu-0002	Res Continens	miedo	CU	verbal-objective	tapar	con la prisión de Lula quieren tapar el miedo que tienen a el poder de el pueblo que ya demostró		f	RES CONTINENS.xlsx	miedo	B7	
con-miedo-cu-0003	Res Continens	miedo	CU	verbal-locative-state	vivir en	Nadie merece vivir en el miedo		f	RES CONTINENS.xlsx	miedo	E7	
con-miedo-cu-0004	Res Continens	miedo	CU	verbal-locative-state	vivir en	na vida de privaciones por el simple hecho de vivir en el miedo, se aficiona a el diccionario		f	RES CONTINENS.xlsx	miedo	E7	
con-miedo-cu-0005	Res Continens	miedo	CU	verbal-locative-state		las demas NACIUONES de el MUNDO que viven en el MIEDO, la VIOLENCIA HUMANA		f	RES CONTINENS.xlsx	miedo	E7	
con-miedo-cu-0006	Res Continens	miedo	CU	verbal-locative-state		mientras se siga viviendo en el miedo		f	RES CONTINENS.xlsx	miedo	E7	
con-miedo-do-0001	Res Continens	miedo	DO	verbal-locative-state		Los padres y los residentes de la comunidad ahora vivimos en el miedo y tenemos temor de que nuestros hijos e hijas, jueguen afuera		f	RES CONTINENS.xlsx	miedo	E8	
con-miedo-do-0002	Res Continens	miedo	DO	verbal-locative-state		viven en el miedo de la deportación		f	RES CONTINENS.xlsx	miedo	E8	
con-miedo-do-0003	Res Continens	miedo	DO	verbal-locative-state		niños nacidos en Estados Unidos viviendo en el miedo y la incertidumbre		f	RES CONTINENS.xlsx	miedo	E8	
con-miedo-do-0004	Res Continens	miedo	DO	verbal-locative-into	caer en	caer en el miedo sólo ayuda a las actividades terroristas.		f	RES CONTINENS.xlsx	miedo	F8	
con-miedo-ec-0001	Res Continens	miedo	EC	verbal-objective	tapar	Los combates destapan el miedo.		f	RES CONTINENS.xlsx	miedo	B9	
con-miedo-ec-0002	Res Continens	miedo	EC	verbal-objective	llenar	" Los elementos electrónicos y físicos intentan responder y llenar el miedo de las personas		f	RES CONTINENS.xlsx	miedo	B9	
con-miedo-ec-0003	Res Continens	miedo	EC	verbal-locative-state	vivir en	es imposible vivir en el miedo		f	RES CONTINENS.xlsx	miedo	E9	
con-miedo-es-0001	Res Continens	miedo	ES	verbal-objective	tapar	veces llamamos' amor' a el tapar nuestros miedos y nuestras historias,		f	RES CONTINENS.xlsx	miedo	B10	
con-miedo-es-0002	Res Continens	miedo	ES	verbal-objective	tapar	Siento que es una forma de tapar el miedo y el dolor		f	RES CONTINENS.xlsx	miedo	B10	
con-miedo-es-0003	Res Continens	miedo	ES	verbal-objective	tapar	Quizá los logros y méritos tapen su miedo a volver a amar		f	RES CONTINENS.xlsx	miedo	B10	
con-miedo-es-0004	Res Continens	miedo	ES	verbal-objective	tapar	La llamada de Isabel Pantoja destapa los miedos de su hijo		f	RES CONTINENS.xlsx	miedo	B10	
con-miedo-es-0005	Res Continens	miedo	ES	verbal-objective	tapar	el propio Rossi alimentó con fuertes declaraciones el año pasado, especialmente en Malasia, destapa un miedo profundo hacia Márquez.		f	RES CONTINENS.xlsx	miedo	B10	
con-miedo-es-0006	Res Continens	miedo	ES	verbal-subject-transitive	tener	si ese miedo contiene la mirada inocente de quien pretende sacar no		f	RES CONTINENS.xlsx	miedo	C10	
con-miedo-es-0007	Res Continens	miedo	ES	verbal-subject-transitive	guardar	EL MIEDO GUARDA  LA VIÑA (20 EJEMPLOS)		f	RES CONTINENS.xlsx	miedo	C10	
con-miedo-es-0008	Res Continens	miedo	ES	verbal-locative-state		La razón de esta extraña circunstancia se encuentra en el miedo que tenían los románticos a la catalepsia,		f	RES CONTINENS.xlsx	miedo	E10	
con-miedo-es-0009	Res Continens	miedo	ES	verbal-locative-state		2( Dentro de este miedo, cabe señalar la existencia de equipos como Real Madrid,		f	RES CONTINENS.xlsx	miedo	E10	
con-miedo-es-0010	Res Continens	miedo	ES	verbal-locative-state		3( El primer paso de lo numinoso se encuentra en la naturaleza y en el miedo a los muertos.		f	RES CONTINENS.xlsx	miedo	E10	
con-miedo-es-0011	Res Continens	miedo	ES	verbal-locative-state		4=  tener una predisposición alegre dentro de el miedo		f	RES CONTINENS.xlsx	miedo	E10	
con-miedo-es-0012	Res Continens	miedo	ES	verbal-locative-state		5= odemos encuadrar el temor a ser perjudicados por los árbitros dentro de los miedos atávicos.		f	RES CONTINENS.xlsx	miedo	E10	
con-miedo-es-0013	Res Continens	miedo	ES	verbal-locative-state		# Cuantas veces vivimos en el miedo de un potencial fracaso		f	RES CONTINENS.xlsx	miedo	E10	
con-miedo-es-0014	Res Continens	miedo	ES	verbal-locative-state		vive en el miedo y de el miedo a la pérdida de el valor operacional de su existencia.		f	RES CONTINENS.xlsx	miedo	E10	
con-miedo-es-0015	Res Continens	miedo	ES	verbal-locative-state		un millón de ciudadanos andaluces vivan en el miedo contínuo a perder una miserable paga		f	RES CONTINENS.xlsx	miedo	E10	
con-miedo-es-0016	Res Continens	miedo	ES	verbal-locative-state		Tienes dudas y preguntas, y tú vives en el miedo, pero un hermano es un hermano		f	RES CONTINENS.xlsx	miedo	E10	
con-miedo-es-0017	Res Continens	miedo	ES	verbal-locative-state		nuestros amigos seguiremos viviendo en el miedo ".		f	RES CONTINENS.xlsx	miedo	E10	
con-miedo-es-0018	Res Continens	miedo	ES	verbal-locative-state		que hay una España " que vive en el miedo y el egoísmo		f	RES CONTINENS.xlsx	miedo	E10	
con-miedo-es-0019	Res Continens	miedo	ES	verbal-locative-state	vivir en	no nos merecemos vivir en el miedo de visitar nuestros propios parques		f	RES CONTINENS.xlsx	miedo	E10	
