id	cryptoclass	emonym	country	construction_type	classifier_lemma	citation_es	source_file	source_sheet	source_locator	exclusion_reason
fil-alegría-uy-0004	Res Filiformes	alegría	UY	attributive		desatada el domingo a el ganar su selección la primera edición	Res Filiformes.xlsx	alegría	F20	non-citation-fragment: blank lemma + no emonym token
pla-alegría-ar-0001	Res Planae	alegría	AR	substantive	nivel de	Este nivel de alegría corresponde a la letra iud de el Nombre de Di-s	Res Planae.xlsx	ALEGRÍA	E2	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-alegría-ar-0002	Res Planae	alegría	AR	substantive	nivel de	Este nivel de alegría corresponde a la hei de el Nombre de Di-s	Res Planae.xlsx	ALEGRÍA	E2	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-alegría-ar-0003	Res Planae	alegría	AR	substantive	nivel de	alcanzar el nivel de " alegría " o " adaptabilidad "	Res Planae.xlsx	ALEGRÍA	E2	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-alegría-ar-0004	Res Planae	alegría	AR	substantive	nivel de	generaron " un nivel de alegría y esperanza que se compartió en todo el país	Res Planae.xlsx	ALEGRÍA	E2	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-alegría-ar-0005	Res Planae	alegría	AR	substantive	nivel de	observar " el nivel de esperanza y alegría que vivimos	Res Planae.xlsx	ALEGRÍA	E2	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-alegría-ar-0006	Res Planae	alegría	AR	substantive	nivel de	A tal punto llegó el nivel de emoción y alegría que la conductora no pudo mantener un diálogo fluído	Res Planae.xlsx	ALEGRÍA	E2	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-alegría-ar-0007	Res Planae	alegría	AR	substantive	nivel de	tenemos un nivel de alegría enorm	Res Planae.xlsx	ALEGRÍA	E2	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-alegría-ar-0008	Res Planae	alegría	AR	substantive	nivel de	trabajar en un medio público con ese nivel de alegría y de respeto por el trabajo	Res Planae.xlsx	ALEGRÍA	E2	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-alegría-ar-0009	Res Planae	alegría	AR	substantive	nivel de	leva un nivel de alegría con el que sueñan los departamentos de marketing	Res Planae.xlsx	ALEGRÍA	E2	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-alegría-cl-0002	Res Planae	alegría	CL	substantive	nivel de	lleva un nivel de alegría con el que sueñan los departamentos de marketing	Res Planae.xlsx	ALEGRÍA	E4	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-alegría-cl-0003	Res Planae	alegría	CL	substantive	nivel de	on el nivel de alegría muy alto y el de el crapulismo muy bajo,	Res Planae.xlsx	ALEGRÍA	E4	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-alegría-co-0001	Res Planae	alegría	CO	substantive	nivel de	mantiene el nivel de alegría en el grupo de las reinas	Res Planae.xlsx	ALEGRÍA	E5	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-alegría-cr-0001	Res Planae	alegría	CR	substantive	nivel de	El nivel de alegría para recibir a otras personas tiene nivel de impacto fuerte;	Res Planae.xlsx	ALEGRÍA	E6	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-alegría-do-0001	Res Planae	alegría	DO	substantive	nivel de	lleva algún nivel de alegría a quienes conforman la nómina gubernamenta	Res Planae.xlsx	ALEGRÍA	E8	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-alegría-es-0001	Res Planae	alegría	ES	substantive	nivel de	Quienes no rien " rebajan el nivel de alegría " de su entorno	Res Planae.xlsx	ALEGRÍA	E10	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-alegría-es-0002	Res Planae	alegría	ES	substantive	nivel de	Nunca antes habíamos experimentado un nivel de alegría y felicidad como ést	Res Planae.xlsx	ALEGRÍA	E10	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-alegría-mx-0002	Res Planae	alegría	MX	substantive	nivel de	Los padrinos disfrutan a el mismo nivel de sencillez, alegría y generosidad que sus ahijados	Res Planae.xlsx	ALEGRÍA	E13	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-alegría-mx-0003	Res Planae	alegría	MX	substantive	nivel de	Ella ejerce una influencia enorme en el nivel de mi alegría de vivir	Res Planae.xlsx	ALEGRÍA	E13	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-alegría-pe-0001	Res Planae	alegría	PE	substantive	nivel de	Tu nivel de energía y alegría aumenta pues esperas con ansias el día de salir de vacaciones	Res Planae.xlsx	ALEGRÍA	E16	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-alegría-pe-0002	Res Planae	alegría	PE	substantive	nivel de	Tal es el nivel de alegría colectiva, que ante el baile se terminan rindiendo todos	Res Planae.xlsx	ALEGRÍA	E16	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-alegría-us-0001	Res Planae	alegría	US	substantive	nivel de	l1 o llevarán a un altísimo nivel de diversión y alegría.	Res Planae.xlsx	ALEGRÍA	E22	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-alegría-us-0002	Res Planae	alegría	US	substantive	nivel de	Ese nivel de alegría en los despachos no parece haber la logrado	Res Planae.xlsx	ALEGRÍA	E22	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-alegría-uy-0001	Res Planae	alegría	UY	substantive	nivel de	cuál es el nivel de alegría o sintonía que genera cada tipo o estilo de viaje	Res Planae.xlsx	ALEGRÍA	E20	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-alegría-ve-0001	Res Planae	alegría	VE	substantive	nivel de	el mínimo nivel de alegría de vivir, de convivir	Res Planae.xlsx	ALEGRÍA	E21	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-alegría-ve-0002	Res Planae	alegría	VE	substantive	nivel de	Tu nivel de energía y alegría aumenta,	Res Planae.xlsx	ALEGRÍA	E21	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
