id	cryptoclass	emonym	country	construction_type	classifier_lemma	citation_es	source	source_file	source_sheet	source_locator	frequency	freq_role
acu-alegría-ar-0001	Res Acutae	alegría	AR	verbal-instrumental		os meses que estamos saliendo de esta seca ", apunta, con alegría, su sobrino,	manual	Res Acutae.xlsx	ALEGRÍA	E2	1	example
acu-alegría-cl-0001	Res Acutae	alegría	CL	verbal-instrumental		apuntó con alegría,	manual	Res Acutae.xlsx	ALEGRÍA	E4	1	example
acu-alegría-cl-0002	Res Acutae	alegría	CL	substantive	punta de	El hombre que a punta de alegría, domó a el pollito pío y a el chanchito con lentes.	manual	Res Acutae.xlsx	ALEGRÍA	H4	1	example
acu-alegría-co-0001	Res Acutae	alegría	CO	verbal-subject-transitive		El' bichito' de la alegría picaba cada vez a más personas,	manual	Res Acutae.xlsx	ALEGRÍA	B5	1	example
acu-alegría-co-0002	Res Acutae	alegría	CO	substantive	punta de	Rigo se ganó a el país a punta de su alegría	manual	Res Acutae.xlsx	ALEGRÍA	H5	1	example
acu-alegría-cr-0001	Res Acutae	alegría	CR	substantive	filo de	Esta entrega promete mantener a los fiebres a el filo de la alegría y la tensión en cada uno de los programas.	manual	Res Acutae.xlsx	ALEGRÍA	H6	1	example
acu-alegría-es-0001	Res Acutae	alegría	ES	verbal-instrumental		apuntó con alegría el niño de 8 años	manual	Res Acutae.xlsx	ALEGRÍA	E10	1	example
acu-alegría-es-0002	Res Acutae	alegría	ES	attributive	puntiagudo	En este trayecto la emoción Alegría adopta una forma puntiaguda mientras que Tristeza se torna a una forma más redonda.	manual	Res Acutae.xlsx	ALEGRÍA	F10	1	example
acu-alegría-mx-0001	Res Acutae	alegría	MX	verbal-subject-transitive	punzar	la tierra es lugar de alegría penosa, de alegría que punza.	manual	Res Acutae.xlsx	ALEGRÍA	B13	1	example
acu-alegría-mx-0002	Res Acutae	alegría	MX	attributive	agudo	incluso la alegría más aguda y la fraternidad más firme es incapaz de detener la mano de el suicida	manual	Res Acutae.xlsx	ALEGRÍA	F13	1	example
acu-alegría-ni-0001	Res Acutae	alegría	NI	verbal-instrumental		" Si me fui tenía que regresar ", apunta con alegría,	manual	Res Acutae.xlsx	ALEGRÍA	E14	1	example
con-alegría-ar-0001	Res Continens	alegría	AR	verbal-objective	tapar	El resultado puede justificar cualquier nivel, no tapa la alegría de la gente, no tapa la importante diferencia	manual	RES CONTINENS.xlsx	alegría	B2	1	example
con-alegría-ar-0002	Res Continens	alegría	AR	verbal-locative-state	estar en	tienes miedo a nada y tu corazón está en la alegría	manual	RES CONTINENS.xlsx	alegría	C2	1	example
con-alegría-ar-0003	Res Continens	alegría	AR	verbal-locative-state	estar en	En las primeras dos parábolas el acento está en la alegría tan incontenible que se debe compartir con " amigos y vecino	manual	RES CONTINENS.xlsx	alegría	C2	1	example
con-alegría-ar-0004	Res Continens	alegría	AR	verbal-locative-state	dentro de	Dentro de la alegría por la conclusión de una obra que demandó mucho trabajo, Infante reflejó su dolor	manual	RES CONTINENS.xlsx	alegría	C2	1	example
con-alegría-ar-0005	Res Continens	alegría	AR	verbal-locative-state	dentro de	dentro de la alegría de una vida comunitaria y creciendo incesantemente en el amor de Dios	manual	RES CONTINENS.xlsx	alegría	C2	1	example
con-alegría-ar-0006	Res Continens	alegría	AR	attributive	lleno de	un poquito de esa pasión por la alegría llena de significados entre metafísicos y sensoriales	manual	RES CONTINENS.xlsx	alegría	E2	1	example
con-alegría-ar-0007	Res Continens	alegría	AR	attributive	lleno de	La alegría carioca llena de música	manual	RES CONTINENS.xlsx	alegría	E2	1	example
con-alegría-ar-0008	Res Continens	alegría	AR	attributive	lleno de	una alegría, llena de bronca a muchos	manual	RES CONTINENS.xlsx	alegría	E2	1	example
con-alegría-ar-0009	Res Continens	alegría	AR	attributive	lleno de	una inmensa alegría pero llena de incertidumbre	manual	RES CONTINENS.xlsx	alegría	E2	1	example
con-alegría-bo-0002	Res Continens	alegría	BO	verbal-locative-state	estar en	la compensación estaba en la alegría	manual	RES CONTINENS.xlsx	alegría	C3	1	example
con-alegría-cl-0001	Res Continens	alegría	CL	verbal-locative-state	vivir en	la fiesta de Cristo resucitado, en donde nos comprometemos a vivir en la alegría y la paz.	manual	RES CONTINENS.xlsx	alegría	C4	1	example
con-alegría-cl-0002	Res Continens	alegría	CL	verbal-locative-state	dentro de	dentro de la alegría, hubo un nombre que todos recordaron	manual	RES CONTINENS.xlsx	alegría	C4	1	example
con-alegría-cl-0003	Res Continens	alegría	CL	attributive	lleno de	una alegría infinita y llena de sueños.	manual	RES CONTINENS.xlsx	alegría	E4	1	example
con-alegría-co-0001	Res Continens	alegría	CO	verbal-objective	destapar	una noticia inesperada que destapó la alegría entre unos aficionados'	manual	RES CONTINENS.xlsx	alegría	B5	1	example
con-alegría-co-0002	Res Continens	alegría	CO	verbal-locative-state	estar en	Puedes estar en la alegría, en la tristeza, en todo eso, y haces canciones de energía	manual	RES CONTINENS.xlsx	alegría	C5	1	example
con-alegría-co-0003	Res Continens	alegría	CO	verbal-locative-state	dentro de	mágico, lo salvaje y lo crudo dentro de la alegría y gozadera de la gente	manual	RES CONTINENS.xlsx	alegría	C5	1	example
con-alegría-co-0004	Res Continens	alegría	CO	attributive	lleno de	es una alegría total y llena de colores	manual	RES CONTINENS.xlsx	alegría	E5	1	example
con-alegría-cu-0001	Res Continens	alegría	CU	verbal-locative-state	estar en	La mayor satisfacción está en la alegría de los huéspedes cuando se marchan	manual	RES CONTINENS.xlsx	alegría	C7	1	example
con-alegría-cu-0002	Res Continens	alegría	CU	verbal-locative-state	dentro de	un humorismo sano, sin fórmulas, dentro de la alegría y el optimismo de la vida.	manual	RES CONTINENS.xlsx	alegría	C7	1	example
con-alegría-do-0001	Res Continens	alegría	DO	verbal-locative-state	estar en	estado de consciencia que nos llevará a vivir en la alegría y que luego se trasforma en felicidad.	manual	RES CONTINENS.xlsx	alegría	C8	1	example
con-alegría-ec-0001	Res Continens	alegría	EC	verbal-objective	destapar	Con el pitazo final se destapó la alegría de los maestros y estudiantes	manual	RES CONTINENS.xlsx	alegría	B9	1	example
con-alegría-ec-0002	Res Continens	alegría	EC	verbal-locative-state	dentro de	Todo está " bien visto " dentro de la alegría que trae cada 6 de enero,	manual	RES CONTINENS.xlsx	alegría	C9	1	example
con-alegría-es-0001	Res Continens	alegría	ES	verbal-objective	destapar	Los festeros de las 24 comparsas de la ciudad destaparon la alegría por los nuevos festejo	manual	RES CONTINENS.xlsx	alegría	B10	1	example
con-alegría-es-0002	Res Continens	alegría	ES	verbal-objective	destapar	felices (Anagrama lo publicará en septiembre), donde destapa las alegrías y miserias cotidianas de 18 personajes	manual	RES CONTINENS.xlsx	alegría	B10	1	example
con-alegría-es-0003	Res Continens	alegría	ES	verbal-locative-state	vivir en	Rezar a Dios para que haya justicia, para que todos puedan vivir en la alegría de ser sus hijos	manual	RES CONTINENS.xlsx	alegría	C10	1	example
con-alegría-es-0004	Res Continens	alegría	ES	verbal-locative-state	vivir en	Jesús nos invitó a " salir " hacia la LUZ, a vivir en la alegría	manual	RES CONTINENS.xlsx	alegría	C10	1	example
con-alegría-es-0005	Res Continens	alegría	ES	verbal-locative-state	vivir en	Vivimos en la alegría los momentos de gracia y de luz	manual	RES CONTINENS.xlsx	alegría	C10	1	example
con-alegría-es-0006	Res Continens	alegría	ES	verbal-locative-state	encontrarse en	Un hombre que ha sabido encontrar en la alegría « la mejor palanca para la renovación de la Iglesia	manual	RES CONTINENS.xlsx	alegría	C10	1	example
