id	cryptoclass	emonym	country	construction_type	classifier_lemma	citation_es	source_file	source_sheet	source_locator	frequency	freq_role	exclusion_reason
pen-amor-mx-0006	Res Longae Penetrantes	amor	MX	verbal-instrumental		Al pie de mi amor clavado,	Res Penentrantes.xlsx	AMOR	E13	1	example	wrong-referent: "mi amor clavado" = beloved person, not the emotion
pla-amor-ar-0001	Res Planae	amor	AR	substantive	nivel de	el nivel de amor que le generaba a los seguidores la presencia de el pequeño Matteo	Res Planae.xlsx	AMOR	E2	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-ar-0002	Res Planae	amor	AR	substantive	nivel de	aumentará su nivel de satisfacción y amor a la tarea realizad	Res Planae.xlsx	AMOR	E2	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-ar-0003	Res Planae	amor	AR	substantive	nivel de	e puede apreciar cómo el nivel de amor por los colores azul y amarillo aumentan	Res Planae.xlsx	AMOR	E2	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-ar-0004	Res Planae	amor	AR	substantive	nivel de	nos generó a los dos un nivel de emoción, amor, realización y felicidad	Res Planae.xlsx	AMOR	E2	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-ar-0005	Res Planae	amor	AR	substantive	nivel de	Hay un nivel de amor y de comunicación muy gran	Res Planae.xlsx	AMOR	E2	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-ar-0006	Res Planae	amor	AR	substantive	nivel de	no cuenta con la suficiente experiencia a nivel de el amor y	Res Planae.xlsx	AMOR	E2	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-cl-0001	Res Planae	amor	CL	substantive	nivel de	no existe ese nivel de amor por el fútbol para dedicar se de por vida	Res Planae.xlsx	AMOR	E4	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-cl-0002	Res Planae	amor	CL	substantive	nivel de	s difícil expresar el nuevo nivel de amor, respeto y admiració	Res Planae.xlsx	AMOR	E4	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-cl-0003	Res Planae	amor	CL	substantive	nivel de	debido a el alto nivel de amor que esta madre le ha dedicado a su hijo	Res Planae.xlsx	AMOR	E4	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-cl-0004	Res Planae	amor	CL	substantive	nivel de	Mi nivel de amor por la tecnología sigue disminuyendo	Res Planae.xlsx	AMOR	E4	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-amor-co-0002	Res Planae	amor	CO	substantive	nivel de	reflejar el nivel de amor que sienten por el fútbol en el país	Res Planae.xlsx	AMOR	E5	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
