id	cryptoclass	emonym	country	construction_type	classifier_lemma	citation_es	source_file	source_sheet	source_locator	frequency	freq_role	exclusion_reason
pla-ira-ar-0001	Res Planae	ira	AR	substantive	nivel de	el nivel de ira que tiene la gente.	Res Planae.xlsx	IRA	E2	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-ira-ar-0002	Res Planae	ira	AR	substantive	nivel de	se evaluó su nivel de ira.	Res Planae.xlsx	IRA	E2	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-ira-ar-0003	Res Planae	ira	AR	substantive	nivel de	mi nivel de ira rebalsó cuando una de las remeras hablaba de " mujeres reales	Res Planae.xlsx	IRA	E2	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-ira-ar-0004	Res Planae	ira	AR	substantive	nivel de	el nivel de ira popular que se vio y de el que él mismo formó parte	Res Planae.xlsx	IRA	E2	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-ira-cl-0001	Res Planae	ira	CL	substantive	nivel de	no tienen ni idea el nivel de ira pública que provocarán	Res Planae.xlsx	IRA	E4	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-ira-cl-0002	Res Planae	ira	CL	substantive	nivel de	No se esperaba este nivel de ira de parte de un tipo generalmente tan calmado como Snoop Dogg	Res Planae.xlsx	IRA	E4	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-ira-cl-0003	Res Planae	ira	CL	substantive	nivel de	Muchas veces he sentido un nivel de ira que me sobrepasa	Res Planae.xlsx	IRA	E4	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-ira-co-0001	Res Planae	ira	CO	substantive	nivel de	o tienen ni idea de el nivel de ira pública que provocarán "	Res Planae.xlsx	IRA	E5	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-ira-cu-0001	Res Planae	ira	CU	substantive	nivel de	después de noventa y ocho horas sin internet, comenzaríamos con un nivel de ira, odio y cólera tan alto, que saldríamos a la calle	Res Planae.xlsx	IRA	E7	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-ira-ec-0001	Res Planae	ira	EC	substantive	nivel de	Si el niño o el adulto está en un nivel de ira muy alto no podrán comunicar se, n	Res Planae.xlsx	IRA	E9	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-ira-es-0001	Res Planae	ira	ES	substantive	nivel de	un nivel de ira superior entre las mujeres	Res Planae.xlsx	IRA	E10	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-ira-es-0002	Res Planae	ira	ES	substantive	nivel de	El nivel de ira y agresión está aumentando.	Res Planae.xlsx	IRA	E10	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-ira-es-0003	Res Planae	ira	ES	substantive	nivel de	dominaban menos su nivel de ira.	Res Planae.xlsx	IRA	E10	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-ira-es-0004	Res Planae	ira	ES	substantive	nivel de	medir, por mi nivel de ira o rotunda negativa, el margen verdadero de acción	Res Planae.xlsx	IRA	E10	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-ira-es-0005	Res Planae	ira	ES	substantive	nivel de	Su nivel de ira fue superior a la alegría de el madridista	Res Planae.xlsx	IRA	E10	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-ira-es-0006	Res Planae	ira	ES	substantive	nivel de	El nivel de ira y conflicto ha escalado hasta tal punto que no alcanzan una posición objetiva	Res Planae.xlsx	IRA	E10	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-ira-es-0007	Res Planae	ira	ES	substantive	nivel de	alto nivel de ira "	Res Planae.xlsx	IRA	E10	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-ira-hn-0001	Res Planae	ira	HN	substantive	nivel de	Crisis eleva el nivel de ira en población	Res Planae.xlsx	IRA	E12	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-ira-mx-0001	Res Planae	ira	MX	substantive	nivel de	la persona debe evaluar su nivel de ira	Res Planae.xlsx	IRA	E13	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-ira-mx-0002	Res Planae	ira	MX	substantive	nivel de	poniéndo me a ese nivel de maldita ira,	Res Planae.xlsx	IRA	E13	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-ira-mx-0003	Res Planae	ira	MX	substantive	nivel de	el nivel de ira está muy alto	Res Planae.xlsx	IRA	E13	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-ira-mx-0004	Res Planae	ira	MX	substantive	nivel de	mostraban cambios significativos en su nivel de felicidad o ira tras las clases de canto,	Res Planae.xlsx	IRA	E13	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-ira-ni-0001	Res Planae	ira	NI	substantive	nivel de	desarrollan un nivel de miedo e ira, por el trato que sufren	Res Planae.xlsx	IRA	E14	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-ira-pe-0001	Res Planae	ira	PE	substantive	nivel de	Cuando hay un nivel de ira intenso y tenemos una explosión por alguna situación	Res Planae.xlsx	IRA	E16	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-ira-pe-0002	Res Planae	ira	PE	substantive	nivel de	Tal fue su nivel de ira que perdió un par de extensiones en la chaqueta de su contrincante	Res Planae.xlsx	IRA	E16	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-ira-pe-0003	Res Planae	ira	PE	substantive	nivel de	dependiendo de el nivel de ira que sentía	Res Planae.xlsx	IRA	E16	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-ira-pe-0004	Res Planae	ira	PE	substantive	nivel de	b despertó este nivel de ira es por ser la gota que colmó el vaso	Res Planae.xlsx	IRA	E16	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-ira-pe-0005	Res Planae	ira	PE	substantive	nivel de	# Fue tal el nivel de la ira popular que las casetas fueron quemadas	Res Planae.xlsx	IRA	E16	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-ira-pe-0006	Res Planae	ira	PE	substantive	nivel de	el objetivo de bajar el nivel de las iras que se acumulaban cada vez que se les acababa el dinero	Res Planae.xlsx	IRA	E16	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-ira-us-0001	Res Planae	ira	US	substantive	nivel de	votantes blancos con menos nivel de ira, miedo y complejo	Res Planae.xlsx	IRA	E22	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-ira-us-0002	Res Planae	ira	US	substantive	nivel de	Agradezco que hayas comprendido mi nivel de ira y de molestia. L	Res Planae.xlsx	IRA	E22	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-ira-uy-0001	Res Planae	ira	UY	substantive	nivel de	el presidente también dejó en claro su nivel de ira ante políticas comerciales	Res Planae.xlsx	IRA	E20	1	example	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
