id	cryptoclass	emonym	country	construction_type	classifier_lemma	citation_es	source_file	source_sheet	source_locator	exclusion_reason
con-miedo-cr-0001	Res Continens	miedo	CR	verbal-locative-state	estar en	está en el temor	RES CONTINENS.xlsx	miedo	D6	wrong-lexeme: citation is about "temor", a distinct lexeme (Phase-4 candidate)
con-miedo-hn-0001	Res Continens	miedo	HN	verbal-locative-state	sumirse en	sumidas en el temor	RES CONTINENS.xlsx	miedo	D12	wrong-lexeme: citation is about "temor", a distinct lexeme (Phase-4 candidate)
con-miedo-mx-0027	Res Continens	miedo	MX	attributive		profundo miedo	RES CONTINENS.xlsx	miedo	G13	intensity-attributive: "profundo miedo" is intensity, not container schema
con-miedo-py-0001	Res Continens	miedo	PY	verbal-locative-state	sumirse en	sumidos en el temor	RES CONTINENS.xlsx	miedo	D18	wrong-lexeme: citation is about "temor", a distinct lexeme (Phase-4 candidate)
fil-miedo-co-0001	Res Filiformes	miedo	CO	verbal-instrumental		Se amarraron a sus miedos y no escaparon.	Res Filiformes.xlsx	miedo	E5	disputed: reflexive-bind ("se amarraron a sus miedos") — Continens-into, not Filiformes
pla-miedo-ar-0001	Res Planae	miedo	AR	substantive	nivel de	existe ese nivel de miedo o de desconfianza	Res Planae.xlsx	MIEDO	E2	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-miedo-ar-0002	Res Planae	miedo	AR	substantive	nivel de	un elevado nivel de miedo, preocupación y ansiedad	Res Planae.xlsx	MIEDO	E2	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-miedo-ar-0003	Res Planae	miedo	AR	substantive	nivel de	han creado un gran nivel de miedo	Res Planae.xlsx	MIEDO	E2	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-miedo-ar-0004	Res Planae	miedo	AR	substantive	nivel de	cada vez que aparece eleva el nivel de miedo	Res Planae.xlsx	MIEDO	E2	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-miedo-ar-0005	Res Planae	miedo	AR	substantive	nivel de	A este nivel de miedo y desesperación hemos llegad	Res Planae.xlsx	MIEDO	E2	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-miedo-ar-0006	Res Planae	miedo	AR	substantive	nivel de	El nivel de el miedo impide que el electorado evalúe objetivamente la efectividad de las medidas intrusivas	Res Planae.xlsx	MIEDO	E2	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-miedo-ar-0007	Res Planae	miedo	AR	substantive	nivel de	No se puede vivir con ese nivel de miedo.	Res Planae.xlsx	MIEDO	E2	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-miedo-ar-0008	Res Planae	miedo	AR	substantive	nivel de	El nivel de miedo a lo largo de la nación también subió sustancialmente	Res Planae.xlsx	MIEDO	E2	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-miedo-ar-0009	Res Planae	miedo	AR	substantive	nivel de	problemas sencillos que terminan en incidentes de gravedad, por el nivel de miedo	Res Planae.xlsx	MIEDO	E2	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-miedo-ar-0010	Res Planae	miedo	AR	substantive	nivel de	el nivel de miedo e inseguridad entre las turistas	Res Planae.xlsx	MIEDO	E2	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-miedo-bo-0001	Res Planae	miedo	BO	substantive	nivel de	a presencia de un elevado nivel de miedo,	Res Planae.xlsx	MIEDO	E3	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-miedo-cl-0001	Res Planae	miedo	CL	substantive	nivel de	El nivel de miedo que sentimos en cualquier situación	Res Planae.xlsx	MIEDO	E4	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-miedo-cl-0002	Res Planae	miedo	CL	substantive	nivel de	Pese a el bajo nivel de miedo a el fracaso que existe entre los chilenos	Res Planae.xlsx	MIEDO	E4	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-miedo-cl-0003	Res Planae	miedo	CL	substantive	nivel de	la campaña había producido un " alarmante nivel de ansiedad y miedo " entre los niños de color,	Res Planae.xlsx	MIEDO	E4	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-miedo-cl-0004	Res Planae	miedo	CL	substantive	nivel de	se mostró con tal nivel de miedo,	Res Planae.xlsx	MIEDO	E4	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-miedo-cl-0005	Res Planae	miedo	CL	substantive	nivel de	o el nivel de ansiedad o miedo se elimina por completo "	Res Planae.xlsx	MIEDO	E4	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-miedo-co-0002	Res Planae	miedo	CO	substantive	nivel de	el nivel de su dignidad está por encima de el nivel de el miedo	Res Planae.xlsx	MIEDO	E5	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-miedo-co-0003	Res Planae	miedo	CO	substantive	nivel de	el alto nivel de ansiedad y miedo.	Res Planae.xlsx	MIEDO	E5	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-miedo-co-0004	Res Planae	miedo	CO	substantive	nivel de	produjo un " alarmante nivel de ansiedad y miedo	Res Planae.xlsx	MIEDO	E5	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
pla-miedo-co-0005	Res Planae	miedo	CO	substantive	nivel de	l nivel de miedo es terrible,	Res Planae.xlsx	MIEDO	E5	measurement-collocation: nivel de (see _inventory-decisions.md 2026-06-01)
