id	cryptoclass	emonym	country	construction_type	classifier_lemma	citation_es	source	source_file	source_sheet	source_locator
acu-miedo-ar-0001	Res Acutae	miedo	AR	attributive	punzante	envuelve a sus residentes en una punzante sensación de miedo,	manual	Res Acutae.xlsx	MIEDO	F2
acu-miedo-ar-0002	Res Acutae	miedo	AR	attributive	puntiagudo	el eco mezclado con un miedo hiriente, refinado, puntiagudo y finalmente el frío	manual	Res Acutae.xlsx	MIEDO	F2
acu-miedo-bo-0001	Res Acutae	miedo	BO	attributive	agudo	un miedo sospechosamente agudo a el problema	manual	Res Acutae.xlsx	MIEDO	F3
acu-miedo-cl-0001	Res Acutae	miedo	CL	attributive	agudo	sienten miedo agudo a aumentar de peso	manual	Res Acutae.xlsx	MIEDO	F4
acu-miedo-co-0001	Res Acutae	miedo	CO	substantive	punta de	la estrategia republicana de buscar electores a punta de miedo tuvo éxito	manual	Res Acutae.xlsx	MIEDO	H5
acu-miedo-co-0002	Res Acutae	miedo	CO	substantive	punta de	los métodos eclesiásticos de control del individuo a punta de miedo..	manual	Res Acutae.xlsx	MIEDO	H5
acu-miedo-co-0003	Res Acutae	miedo	CO	substantive	punta de	Si es que los convencen a punta de miedo como los mal llamados enviados de Dios,	manual	Res Acutae.xlsx	MIEDO	H5
acu-miedo-co-0004	Res Acutae	miedo	CO	substantive	punta de	Es mas fácil criar a tus hijos a punta de miedo y amenazas,	manual	Res Acutae.xlsx	MIEDO	H5
acu-miedo-cu-0001	Res Acutae	miedo	CU	verbal-subject-transitive	pinchar	un miedo en mayúsculas, ese miedo que te pincha el corazón y te exalta, te consume	manual	Res Acutae.xlsx	MIEDO	B7
acu-miedo-cu-0002	Res Acutae	miedo	CU	attributive	agudo	y con síndrome de miedo agudo ante cualquier gesto de su tutor	manual	Res Acutae.xlsx	MIEDO	F7
acu-miedo-do-0001	Res Acutae	miedo	DO	substantive	punta de	creer en alguna deidad pero si en como a punta de miedo, intimidación e intolerancia,	manual	Res Acutae.xlsx	MIEDO	H8
acu-miedo-es-0001	Res Acutae	miedo	ES	verbal-objective	aguzar	Desde la amoralidad más descarada, estrechando manos y perorando avisos, aguzando el miedo y la insolidaridad,	manual	Res Acutae.xlsx	MIEDO	D10
acu-miedo-mx-0001	Res Acutae	miedo	MX	attributive	agudo	un miedo anormal y agudo a los médicos	manual	Res Acutae.xlsx	MIEDO	F13
acu-miedo-mx-0002	Res Acutae	miedo	MX	predicative	es agudo	este miedo es probablemente más agudo,	manual	Res Acutae.xlsx	MIEDO	G13
acu-miedo-mx-0003	Res Acutae	miedo	MX	substantive	punta de	la estrategia de Chick Publications es adoctrinar y convertir a punta de el miedo.	manual	Res Acutae.xlsx	MIEDO	H13
acu-miedo-pa-0001	Res Acutae	miedo	PA	substantive	punta de	como muchas cosas en la crianza te las hacen creer a punta de miedo. H	manual	Res Acutae.xlsx	MIEDO	H15
acu-miedo-pe-0001	Res Acutae	miedo	PE	attributive	agudo	umará un miedo agudo a los pasivos de su muy breve personalidad "	manual	Res Acutae.xlsx	MIEDO	F16
acu-miedo-us-0001	Res Acutae	miedo	US	attributive	punzante	odos los miedos y las inseguridades vuelven punzantes como alfileres	manual	Res Acutae.xlsx	MIEDO	F22
acu-miedo-uy-0001	Res Acutae	miedo	UY	attributive	agudo	el miedo agudo efectivamente facilita la coagulación sanguínea	manual	Res Acutae.xlsx	MIEDO	F20
acu-miedo-uy-0002	Res Acutae	miedo	UY	substantive	punta de	uiere imponer a punta de miedo el proyecto minero conga,	manual	Res Acutae.xlsx	MIEDO	H20
acu-miedo-ve-0001	Res Acutae	miedo	VE	attributive	agudo	admiten que un agudo miedo resurgió por la vida	manual	Res Acutae.xlsx	MIEDO	F21
acu-miedo-ve-0002	Res Acutae	miedo	VE	predicative	es punzante	n cada' foto asalto' el miedo es punzante	manual	Res Acutae.xlsx	MIEDO	G21
con-miedo-ar-0001	Res Continens	miedo	AR	verbal-objective	tapar	el seductor se nos vaya de mambo y que, a 230/280 para tapar el miedo, se estrelle.	manual	RES CONTINENS.xlsx	miedo	B2
con-miedo-ar-0002	Res Continens	miedo	AR	verbal-objective	tapar	La ira es un recurso que tapa el miedo y la confusión.	manual	RES CONTINENS.xlsx	miedo	B2
con-miedo-ar-0003	Res Continens	miedo	AR	verbal-objective	tapar	compra una marca más cara porque le da más seguridad y con eso tapa un miedo.	manual	RES CONTINENS.xlsx	miedo	B2
con-miedo-ar-0004	Res Continens	miedo	AR	verbal-objective	destapar	Los combates destapan el miedo.	manual	RES CONTINENS.xlsx	miedo	B2
con-miedo-ar-0005	Res Continens	miedo	AR	verbal-objective	destapar	con la necesidad urgente de destapar los miedos, angustias y horrores	manual	RES CONTINENS.xlsx	miedo	B2
con-miedo-ar-0006	Res Continens	miedo	AR	verbal-objective	destapar	Esta condena permitió romper con la impunidad, destapar el miedo	manual	RES CONTINENS.xlsx	miedo	B2
con-miedo-ar-0007	Res Continens	miedo	AR	verbal-objective	destapar	El recuerdo más bonito de la experiencia literaria está asociada a mi libertad, a destapar los miedos por la discriminación, por estar dentro del close	manual	RES CONTINENS.xlsx	miedo	B2
con-miedo-ar-0008	Res Continens	miedo	AR	verbal-locative-state	dentro de	yo en la habitación de mis hijas con la puertas trancada por dentro de el miedo que tenia de sus ataques	manual	RES CONTINENS.xlsx	miedo	D2
con-miedo-ar-0009	Res Continens	miedo	AR	verbal-locative-state	vivir en	El dolor vive en el miedo	manual	RES CONTINENS.xlsx	miedo	D2
